Close/Last,Volume,Open,High,Low
$230.10 ,47070910,$232.61 ,$233.47 ,$229.55 
$233.67 ,35417250,$233.10 ,$234.33 ,$232.32 
$233.40 ,36087130,$233.32 ,$234.73 ,$232.55 
$231.41 ,38802300,$229.74 ,$233.22 ,$229.57 
$230.57 ,31109500,$229.98 ,$230.82 ,$228.41 
$230.76 ,52286980,$234.08 ,$235.14 ,$227.76 
$235.86 ,38846580,$233.89 ,$236.22 ,$232.60 
$236.48 ,36254470,$234.45 ,$236.85 ,$234.45 
$235.00 ,46431470,$236.18 ,$236.18 ,$234.01 
$232.15 ,32993810,$233.43 ,$233.85 ,$230.52 
$231.78 ,34082240,$231.60 ,$232.12 ,$229.84 
$233.85 ,64751370,$233.61 ,$237.49 ,$232.37 
$231.30 ,39882090,$228.70 ,$231.73 ,$228.60 
$227.55 ,31759190,$229.30 ,$229.41 ,$227.34 
$229.04 ,28183540,$227.78 ,$229.50 ,$227.17 
$229.54 ,33591090,$225.23 ,$229.75 ,$224.83 
$225.77 ,31855690,$224.30 ,$225.98 ,$223.25 
$221.69 ,39505350,$224.50 ,$225.69 ,$221.33 
$226.80 ,37345100,$227.90 ,$228.00 ,$224.13 
$225.67 ,34044160,$225.14 ,$226.81 ,$223.32 
$226.78 ,32880610,$225.89 ,$227.37 ,$223.02 
$226.21 ,63285050,$229.52 ,$229.65 ,$223.74 
$233.00 ,54793390,$230.04 ,$233.00 ,$229.65 
$227.79 ,34025970,$228.46 ,$229.52 ,$227.30 
$227.52 ,36636710,$227.30 ,$228.50 ,$225.41 
$226.37 ,42308720,$224.93 ,$227.29 ,$224.02 
$227.37 ,43556070,$228.65 ,$229.35 ,$225.73 
$226.47 ,54146020,$227.34 ,$229.45 ,$225.81 
$228.20 ,318679900,$229.97 ,$233.09 ,$227.62 
$228.87 ,66781320,$224.99 ,$229.82 ,$224.63 
$220.69 ,59894930,$217.55 ,$222.71 ,$217.54 
$216.79 ,45519340,$215.75 ,$216.90 ,$214.50 
$216.32 ,59357430,$216.54 ,$217.22 ,$213.92 
$222.50 ,36766620,$223.58 ,$224.04 ,$221.91 
$222.77 ,37498230,$222.50 ,$223.55 ,$219.82 
$222.66 ,44587070,$221.46 ,$223.09 ,$217.89 
$220.11 ,51591030,$218.92 ,$221.48 ,$216.73 
$220.91 ,67179970,$220.82 ,$221.27 ,$216.71 
$220.82 ,48423010,$223.95 ,$225.24 ,$219.77 
$222.38 ,36615400,$221.63 ,$225.48 ,$221.52 
$220.85 ,43840200,$221.66 ,$221.78 ,$217.48 
$222.77 ,50190570,$228.55 ,$229.00 ,$221.17 
$229.00 ,52990770,$230.19 ,$230.40 ,$227.48 
$229.79 ,51906300,$230.10 ,$232.92 ,$228.88 
$226.49 ,38052170,$227.92 ,$229.86 ,$225.68 
$228.03 ,35934560,$226.00 ,$228.85 ,$224.89 
$227.18 ,30602210,$226.76 ,$227.28 ,$223.89 
$226.84 ,38677250,$225.66 ,$228.22 ,$224.33 
$224.53 ,43695320,$227.79 ,$228.34 ,$223.90 
$226.40 ,34765480,$226.52 ,$227.98 ,$225.05 
$226.51 ,30299030,$225.77 ,$227.17 ,$225.45 
$225.89 ,40687810,$225.72 ,$225.99 ,$223.04 
$226.05 ,44340240,$223.92 ,$226.83 ,$223.65 
$224.72 ,46414010,$224.60 ,$225.35 ,$222.76 
$221.72 ,41960570,$220.57 ,$223.03 ,$219.70 
$221.27 ,44155330,$219.01 ,$221.89 ,$219.01 
$217.53 ,38028090,$216.07 ,$219.51 ,$215.60 
